Song #,Song Name,Artist,dl,Anger,Sad,Happy,Tender,energy,valence,song_url,id
160,Godspeed,James Blake,0,1,4,1,2,0.174,0.221,https://open.spotify.com/track/5WfACgyEk4rwdWU3rrzNt1,5WfACgyEk4rwdWU3rrzNt1
161,Stay Alive,Mustafa,1,1,3,1,2,0.18,0.456,https://open.spotify.com/track/1COWb4m8g8jY7fi3wXzo5b,1COWb4m8g8jY7fi3wXzo5b
162,Psychosocial,Slipknot,1,4,2,1,1,0.989,0.352,https://open.spotify.com/track/2MvIMgtWyK88OiPi0J8Dg3,2MvIMgtWyK88OiPi0J8Dg3
163,Chop Suey!,System Of A Down,1,5,3,1,1,0.934,0.286,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN,2DlHlPMa4M17kufBvI2lEN
162,BYOB,System Of A Down,1,5,2,1,1,0.981,0.716,https://open.spotify.com/track/0EYOdF5FCkgOJJla8DI2Md,0EYOdF5FCkgOJJla8DI2Md
163,Given Up,Linkin Park,1,4,3,1,1,0.885,0.938,https://open.spotify.com/track/1fLlRApgzxWweF1JTf8yM5,1fLlRApgzxWweF1JTf8yM5
164,In The End,Linkin Park,1,4,3,1,1,0.864,0.4,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,60a0Rd6pjrkxjPbaKzXjfq
165,Faint ,Linkin Park,1,4,3,1,1,0.978,0.594,https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU,4Yf5bqU3NK4kNOypcrLYwU
166,GoodVibes,WizTheMac,1,1,1,4,1,0.846,0.736,https://open.spotify.com/track/1XVqh0dC0PIl72f2mQhsVt,1XVqh0dC0PIl72f2mQhsVt
167,Because I Got High,Afroman,0,1,1,5,2,0.341,0.849,https://open.spotify.com/track/0rRboI6IRuGx56Dq3UdYY4,0rRboI6IRuGx56Dq3UdYY4
168,I want it that way,Backstreet Boys,1,1,2,4,1,0.694,0.482,https://open.spotify.com/track/47BBI51FKFwOMlIiX6m8ya,47BBI51FKFwOMlIiX6m8ya
169,Everybody,Mac Miller ,1,1,4,1,2,0.599,0.112,https://open.spotify.com/track/1OuN92HcVG6NVpWbeESNB3,1OuN92HcVG6NVpWbeESNB3
170,Let it Be,Beatles,0,1,3,3,2,0.403,0.41,https://open.spotify.com/track/7iN1s7xHE4ifF5povM6A48,7iN1s7xHE4ifF5povM6A48
171,I Got You,Bebe Rexha,1,1,2,4,1,0.887,0.349,https://open.spotify.com/track/2jB9QaPJyVdz2Q0Va8rrnU,2jB9QaPJyVdz2Q0Va8rrnU
172,Honey Bee,Blake Shelton,1,1,2,4,1,0.849,0.723,https://open.spotify.com/track/0gY2iq0xJPRoIB1PScKSw4,0gY2iq0xJPRoIB1PScKSw4
173,All My Loving,The Beatles,0,1,1,4,1,0.563,0.9,https://open.spotify.com/track/4joiWvli4qJVEW6qZV2i2J,4joiWvli4qJVEW6qZV2i2J
174,Paradise,Coldplay,1,1,1,4,1,0.585,0.212,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D,6nek1Nin9q48AVZcWs9e9D
175,Bad day,Daniel Powter,1,1,2,3,1,0.785,0.52,https://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK,0mUyMawtxj1CJ76kn9gIZK
176,Hotel California,Eagles,1,1,4,2,2,0.508,0.609,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,40riOy7x9W7GXjyGp4pjAv
177,Lyin' Eyes,Eagles,1,1,3,2,2,0.673,0.867,https://open.spotify.com/track/5lQKRR3MdJLtAwNBiT8Cq0,5lQKRR3MdJLtAwNBiT8Cq0
178,Kiss Me Thru The Phone,"Soulja Boy, Sammie",0,1,1,4,1,0.712,0.795,https://open.spotify.com/track/2q4rjDy9WhaN3o9MvDbO21,2q4rjDy9WhaN3o9MvDbO21
179,Lose Yourself,Eminem,0,3,1,4,1,0.744,0.0612,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ,5Z01UMMf7V1o0MzF86s6WJ
180,My Name Is,Eminem,0,4,1,4,1,0.68,0.815,https://open.spotify.com/track/75IN3CtuZwTHTnZvYM4qnJ,75IN3CtuZwTHTnZvYM4qnJ
181,Without Me,Eminem,0,2,1,3,1,0.669,0.662,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,7lQ8MOhq6IN2w8EYcFNSUk
182,Alive,Empire of the Sun,0,1,1,4,1,0.885,0.395,https://open.spotify.com/track/5WBnKCEsPwsvWHUZmLjS3s,5WBnKCEsPwsvWHUZmLjS3s
