Song #,Song Name,Artist,dl,Anger,Sad,Happy,Tender,energy,valence,song_url,id
27,Sorry,Justin Bieber,0,1,2,4,1,0.76,0.41,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,09CtPGIpYB4BrO8qb1RGsF
28,XO Tour Lif3,Lil Uzi Vert,1,2,3,1,1,0.75,0.401,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,7GX5flRQZVHRAGd6B4TmDO
29,Don't Let Me Down,"The Chainsmokers, Daya",1,2,3,3,1,0.869,0.422,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK,1i1fxkWeaMmKEB4T7zqbzK
30,HUMBLE,Kendrick Lamar,0,3,1,2,1,0.621,0.421,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,7KXjTSCq5nL1LoYtL7XAwS
31,Bohemian Rhapsody,Queen,0,3,4,2,2,0.402,0.228,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,7tFiyTwD0nx5a1eklYtX2J
32,I took A Pill Ibiza - Seeb Remix,"Mike Posner, Seeb",0,1,2,4,1,0.714,0.71,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P,1MtUq6Wp1eQ8PC6BbPCj8P
33,Happier,"Marshmello, Bastille",0,1,2,4,1,0.792,0.671,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99
34,All of Me,John Legen,1,3,4,2,3,0.264,0.331,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,3U4isOIWM3VvDubwSI3y7a
35,Better Now,Post Malone,0,3,4,1,1,0.578,0.341,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK
36,Let Me Love You,"DJ Snake, Justin Bieber",0,1,2,3,1,0.716,0.163,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,0lYBSQXN6rCTvUZvg9S0lU
37,Faded,Alan Walker,1,2,3,2,1,0.651,0.166,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7gHs73wELdeycvS48JfIos
38,Shallow,"Lady Gaga, Bradlee Cooper",0,2,3,2,3,0.385,0.323,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B
39,Stressed Out,Twenty One Pilot,1,3,3,2,1,0.637,0.648,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,3CRDbSIZ4r5MsZ0YwxuEkn
40,Congratulations,Post Malone,0,2,3,1,1,0.804,0.492,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,3a1lNhkSLSkpJE4MSHpDu9
41,7 Rings,Ariana Grande,0,2,1,3,1,0.317,0.327,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,6ocbgoVGwYJhOv1GgI9NsF
42,Take Me To Church,Hozier,1,3,3,1,3,0.664,0.437,https://open.spotify.com/track/1CS7Sd1u5tWkstBhpssyjP,1CS7Sd1u5tWkstBhpssyjP
43,SICKO MODE,Travis Scott,1,3,1,2,1,0.73,0.446,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h
44,Jocelyn Flores,XXXTENTACION,1,2,5,1,3,0.391,0.437,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,7m9OqQk4RVRkw9JJdeAw96
45,Treat You Better ,Shawn Mendes,0,1,3,2,2,0.819,0.747,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,3QGsuHI8jO1Rx4JWLUh9jd
46,Let Her Go,Passenger,1,1,4,1,5,0.545,0.243,https://open.spotify.com/track/0JmiBCpWc1IAc0et7Xm7FL,0JmiBCpWc1IAc0et7Xm7FL
47,Unforgettable,"French Montana, Swae Lee",1,2,2,3,2,0.769,0.733,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,3B54sVLJ402zGa6Xm4YGNe
48,Uptown Funk,"Mark Ronson, Bruno Mars",1,2,1,5,1,0.609,0.928,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,32OlwWuMpZ6b0aN2RZOeMS
49,Stay With Me,Sam Smith,0,1,5,1,4,0.42,0.184,https://open.spotify.com/track/5Nm9ERjJZ5oyfXZTECKmRt,5Nm9ERjJZ5oyfXZTECKmRt
50,Cheap Thrills,Sia,1,1,3,3,2,0.698,0.732,https://open.spotify.com/track/3S4px9f4lceWdKf0gWciFu,3S4px9f4lceWdKf0gWciFu
51,goosebumps,Travis Scott,1,2,1,3,2,0.728,0.43,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,6gBFPUFcJLzWGx4lenP6h2
52,Girls Like You,"Maroon 5, Cardi B",0,1,3,1,4,0.541,0.448,https://open.spotify.com/track/6V1bu6o1Yo5ZXnsCJU8Ovk,6V1bu6o1Yo5ZXnsCJU8Ovk
