Song Name,Artist,dl,Anger,Sad,Happy,Tender,energy,valence,song_url,id,update_frequency
I Like it,"Cardi B, Bad Bunny, J Balvin",1,2.0,1.0,4.0,1.0,0.726,0.65,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,58q2HKrzhC3ozto2nDdN4z,1
That's What I Like,Bruno Mars,1,1.0,1.0,4.0,2.0,0.56,0.86,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,0KKkJNfGyhkQ5aFogxQAPU,1
Counting Stars,OneRepublic,0,1.0,1.0,4.0,1.0,0.705,0.47700000000000004,https://open.spotify.com/track/6sy3LkhNFjJWlaeSMNwQ62,6sy3LkhNFjJWlaeSMNwQ62,1
I Fall Apart,Post Malone,0,3.0,4.0,1.0,2.0,0.5379999999999999,0.29100000000000004,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,75ZvA4QfFiZvzhj2xkaWAh,1
Can't Hold Us ,Macklemore & Ryan Lewis,1,2.0,1.0,3.0,1.0,0.922,0.847,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,3bidbhpOYeV4knp8AIu8Xn,1
Psycho,Post Malone,0,1.0,3.0,1.0,3.0,0.56,0.45899999999999996,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,3swc6WTsr7rl9DqQKQA55C,1
See You Again,"Wiz Khalifa, Charlie Puth",1,1.0,4.0,2.0,1.0,0.48100000000000004,0.28300000000000003,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc,2JzZzZUQj3Qff7wapcbKjc,1
Heathens,Twenty One Pilot,1,1.0,4.0,1.0,3.0,0.396,0.5479999999999999,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,6i0V12jOa3mr6uu4WYhUBr,1
One Kiss,"Dua Lipa, Calvin Harris",1,1.0,1.0,4.0,1.0,0.862,0.5920000000000001,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,7ef4DlsgrMEH11cDZd32M6,1
Cheerleader,OMI,1,1.0,1.0,4.0,3.0,0.68,0.594,https://open.spotify.com/track/023OVLNzXhX0j7CxswUt6D,023OVLNzXhX0j7CxswUt6D,1
Moonlight,XXXTENTACION,0,2.0,4.0,1.0,2.0,0.537,0.711,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,0JP9xo3adEtGSdUEISiszL,1
Radioactive,Imagine Dragons,0,4.0,3.0,1.0,1.0,0.784,0.23600000000000002,https://open.spotify.com/track/4G8gkOterJn0Ywt6uhqbhp,4G8gkOterJn0Ywt6uhqbhp,1
Attention,Charlie Puth,1,1.0,2.0,3.0,2.0,0.613,0.797,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50,5cF0dROlMOK5uNZtivgu50,1
Eastside,"benny blanco, Halsey, Khalid",0,1.0,2.0,3.0,2.0,0.68,0.319,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,0d2iYfpKoM0QCKvcLCkBao,1
Runaway,J Cole,0,1.0,3.0,1.0,2.0,0.757,0.0706,https://open.spotify.com/track/3eZjDYBS6oVs1z5POqjX9f,3eZjDYBS6oVs1z5POqjX9f,1
This is what you came for ,"Calvin Harris, Rihanna",1,3.0,1.0,3.0,1.0,0.9279999999999999,0.465,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0azC730Exh71aQlOt9Zj3y,1
I like me better,Lauv,1,1.0,1.0,4.0,4.0,0.505,0.419,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2P91MQbaiQOfbiz9VqhqKQ,1
Riptide,Vance Joy,1,1.0,3.0,1.0,4.0,0.731,0.51,https://open.spotify.com/track/3JvrhDOgAt6p7K8mDyZwRd,3JvrhDOgAt6p7K8mDyZwRd,1
The Hills,The Weeknd,0,2.0,5.0,1.0,1.0,0.564,0.13699999999999998,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,7fBv7CLKzipRk6EC6TWHOB,1
In My Feelings,Drake,0,2.0,2.0,1.0,2.0,0.626,0.35,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2G7V7zsVDxg1yRsu7Ew9RJ,1
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",1,2.0,1.0,2.0,3.0,0.619,0.639,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2YpeDb67231RjR0MgVLzsG,1
Can't Feel my Face,The Weeknd,0,2.0,4.0,1.0,1.0,0.769,0.583,https://open.spotify.com/track/22VdIZQfgXJea34mQxlt81,22VdIZQfgXJea34mQxlt81,1
